point_id,lat,long,idp_issueddate_iso,idp_validtime_iso,value,name,requested_on
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T15:00:00-08:00,2,ds_apm25h01_bc_B11,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-11T15:00:00-08:00,3,ds_apm25h01_bc_B11,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-11T15:00:00-08:00,5,ds_apm25h01_bc_B11,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T16:00:00-08:00,6,ds_apm25h01_bc_B12,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-11T16:00:00-08:00,5,ds_apm25h01_bc_B12,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-11T16:00:00-08:00,5,ds_apm25h01_bc_B12,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T17:00:00-08:00,7,ds_apm25h01_bc_B13,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-11T17:00:00-08:00,6,ds_apm25h01_bc_B13,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-11T17:00:00-08:00,5,ds_apm25h01_bc_B13,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T18:00:00-08:00,17,ds_apm25h01_bc_B14,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-11T18:00:00-08:00,9,ds_apm25h01_bc_B14,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-11T18:00:00-08:00,5,ds_apm25h01_bc_B14,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T19:00:00-08:00,14,ds_apm25h01_bc_B15,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-11T19:00:00-08:00,10,ds_apm25h01_bc_B15,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-11T19:00:00-08:00,5,ds_apm25h01_bc_B15,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T20:00:00-08:00,15,ds_apm25h01_bc_B16,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-11T20:00:00-08:00,14,ds_apm25h01_bc_B16,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-11T20:00:00-08:00,27,ds_apm25h01_bc_B16,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T21:00:00-08:00,11,ds_apm25h01_bc_B17,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-11T21:00:00-08:00,11,ds_apm25h01_bc_B17,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-11T21:00:00-08:00,27,ds_apm25h01_bc_B17,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T22:00:00-08:00,9,ds_apm25h01_bc_B18,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-11T22:00:00-08:00,15,ds_apm25h01_bc_B18,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-11T22:00:00-08:00,19,ds_apm25h01_bc_B18,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T23:00:00-08:00,10,ds_apm25h01_bc_B19,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-11T23:00:00-08:00,17,ds_apm25h01_bc_B19,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-11T23:00:00-08:00,37,ds_apm25h01_bc_B19,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T00:00:00-08:00,6,ds_apm25h01_bc_B20,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T00:00:00-08:00,21,ds_apm25h01_bc_B20,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T00:00:00-08:00,52,ds_apm25h01_bc_B20,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T01:00:00-08:00,3,ds_apm25h01_bc_B21,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T01:00:00-08:00,20,ds_apm25h01_bc_B21,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T01:00:00-08:00,41,ds_apm25h01_bc_B21,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T02:00:00-08:00,10,ds_apm25h01_bc_B22,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T02:00:00-08:00,20,ds_apm25h01_bc_B22,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T02:00:00-08:00,30,ds_apm25h01_bc_B22,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T03:00:00-08:00,7,ds_apm25h01_bc_B23,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T03:00:00-08:00,16,ds_apm25h01_bc_B23,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T03:00:00-08:00,27,ds_apm25h01_bc_B23,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T04:00:00-08:00,8,ds_apm25h01_bc_B24,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T04:00:00-08:00,14,ds_apm25h01_bc_B24,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T04:00:00-08:00,25,ds_apm25h01_bc_B24,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T05:00:00-08:00,6,ds_apm25h01_bc_B25,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T05:00:00-08:00,11,ds_apm25h01_bc_B25,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T05:00:00-08:00,23,ds_apm25h01_bc_B25,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T06:00:00-08:00,6,ds_apm25h01_bc_B26,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T06:00:00-08:00,13,ds_apm25h01_bc_B26,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T06:00:00-08:00,28,ds_apm25h01_bc_B26,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T07:00:00-08:00,6,ds_apm25h01_bc_B27,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T07:00:00-08:00,16,ds_apm25h01_bc_B27,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T07:00:00-08:00,67,ds_apm25h01_bc_B27,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T08:00:00-08:00,6,ds_apm25h01_bc_B28,2023-11-11T20:05:41.685120-08:00
